track_id	gt_bpm	det_bpm	det_conf	ioi_bpm	ioi_conf	comb_bpm	comb_conf	ac_bpm	ac_conf	lowac_bpm	lowac_conf	hopf_bpm	hopf_conf	spec_bpm	spec_conf	crest_db	transient_density	tempo_stability	d_low	d_high	machine_timed	drumless	duration_s	n_onsets	pc_det	pc_half	pc_double	pc_triple	es_det	es_half	es_double	es_triple	me_det	me_half	me_double	me_triple	io_det	io_half	io_double	io_triple	label
Albums-Latino_Latino-04	120	117.41	0.6759	120.00	0.0327	78.50	0.5770	117.16	1.0000	79.17	1.0000	118.50	0.2072	61.52	0.6527	17.67	5.79	0.0000	5.27	4.17	0	0	30.72	178	0.0281	0.0748	0.5812	0.1202	0.1311	0.7742	0.8430	0.3315	0.1209	0.5837	0.9134	0.4205	0.6610	0.4068	0.7345	0.3220	0
Albums-Latino_Latino-06	109	105.72	0.7400	107.01	0.0189	69.50	0.5390	105.11	1.0000	71.29	0.9727	104.00	0.2151	79.25	0.7200	20.01	5.73	0.0000	5.34	4.17	0	0	30.72	176	0.0752	0.0295	0.4025	0.1459	0.3273	0.6429	0.7890	0.3804	0.4160	0.8270	0.9593	0.5890	0.6743	0.3086	0.7600	0.4457	0
Albums-Macumba-01	124	124.28	0.5114	124.64	0.0478	83.00	0.5034	125.89	0.4937	125.85	0.4977	124.50	0.1901	125.12	0.8725	14.11	6.81	0.0000	6.04	4.61	0	0	29.95	204	0.0498	0.0833	0.4887	0.0612	0.2063	0.1250	0.9200	0.3904	0.1830	0.1349	0.7190	0.4751	0.6108	0.3350	0.7685	0.5172	0
Albums-Macumba-02	124	124.09	0.5694	125.12	0.0298	123.00	0.4158	125.95	0.5904	81.73	0.7008	123.50	0.1509	61.52	0.7070	13.79	6.78	0.0462	5.95	5.12	0	0	30.09	204	0.0209	0.0632	0.4221	0.0295	0.1587	0.1250	0.9760	0.2834	0.3504	0.3977	0.9314	0.4660	0.7389	0.2956	0.8374	0.4828	0
Albums-Macumba-03	124	124	0.6802	124.73	0.0840	125.50	0.3832	125.99	0.6368	125.97	0.6552	125.00	0.1294	122.44	0.6790	13.15	5.25	0.1978	4.85	4.45	0	0	30.09	158	0.0402	0.0395	0.6767	0.0259	0.9683	0.1562	0.9760	0.3797	0.3686	0.0891	0.9288	0.7849	0.8662	0.5987	0.9108	0.2739	0
Albums-Macumba-04	124	124.02	0.6172	124.65	0.0471	122.50	0.3589	126.04	0.5818	61.76	0.5618	125.50	0.1105	184.48	0.5960	14.61	5.28	0.5230	4.62	4.62	0	0	30.09	159	0.0921	0.0824	0.7669	0.0739	0.3333	0.0938	0.9760	0.4011	0.2601	0.1511	0.9425	0.6773	0.7722	0.6013	0.7785	0.2722	0
Albums-Mambo_Kings-03	117	114.88	0.7243	115.24	0.0277	76.50	0.5854	115.55	1.0000	112.32	1.0000	114.50	0.2118	84.53	0.7820	14.72	6.34	0.0000	5.81	4.25	0	0	30.14	191	0.0669	0.0276	0.5036	0.0120	0.1552	0.8276	0.8966	0.4195	0.1022	0.7127	0.8691	0.5391	0.6316	0.3158	0.7684	0.5053	0
Albums-Mambo_Kings-10	106	102.96	0.6081	199.70	0.0251	105.00	0.2527	104.32	0.9081	104.02	1.0000	102.50	0.0878	64.81	0.5292	17.27	7.72	0.0000	5.99	4.96	0	0	30.05	232	0.0303	0.0273	0.2425	0.0658	0.5769	0.4615	0.7596	0.4839	0.6619	0.1828	0.8320	0.3696	0.4848	0.0693	0.6710	0.6710	0
Albums-Mambo_Kings-11	118	115.98	0.6757	115.24	0.0425	77.50	0.4875	115.00	1.0000	77.96	1.0000	116.00	0.2056	88.38	0.7155	18.19	6.67	0.0000	5.61	5.01	0	0	30.14	201	0.0200	0.0123	0.3638	0.1075	0.2542	0.2667	0.8205	0.4114	0.3890	0.2512	0.8838	0.4324	0.6600	0.2750	0.7350	0.4900	0
Albums-Mambo_Kings-12	117	115.14	0.6669	124.64	0.0194	115.50	0.4033	114.93	0.8795	77.75	1.0000	115.00	0.1057	172.19	0.6336	16.32	6.92	0.0000	6.46	4.33	0	0	30.05	208	0.0072	0.1131	0.1920	0.0602	0.3793	0.4483	0.5603	0.3931	0.4721	0.2494	0.7819	0.4818	0.5797	0.2029	0.7005	0.5894	0
Albums-Pais_Tropical-05	124	123.73	0.7073	124.67	0.0525	124.00	0.6094	126.13	0.6294	126.03	0.6820	124.00	0.2459	95.20	0.6786	13.85	6.10	0.0000	5.57	4.45	0	0	30.14	184	0.1182	0.0691	0.5304	0.1585	0.8889	0.9688	0.9520	0.5455	0.6959	0.2117	0.9560	0.7421	0.7650	0.4098	0.8798	0.3934	0
Albums-Pais_Tropical-06	124	123.72	0.6607	124.68	0.0570	83.50	0.3846	121.26	0.6417	121.59	0.6497	123.00	0.2052	188.55	0.5932	13.29	5.04	0.0914	4.88	4.41	0	0	30.14	152	0.0433	0.0512	0.7249	0.0546	0.9683	0.9375	0.9920	0.1925	0.4064	0.3740	0.9371	0.4722	0.8940	0.6556	0.9205	0.1987	0
Albums-Pais_Tropical-07	124	123.74	0.6683	124.66	0.0431	83.00	0.5042	121.23	0.6111	61.85	0.5708	123.50	0.1854	94.20	0.6528	13.47	5.67	0.0000	5.14	4.68	0	0	30.14	171	0.0744	0.0945	0.7017	0.0629	0.8730	0.1562	0.9840	0.4171	0.5053	0.0954	0.9061	0.7547	0.7706	0.5412	0.8118	0.3471	0
Albums-Pais_Tropical-08	124	123.66	0.6694	124.67	0.0360	83.00	0.5230	61.85	0.5176	121.34	0.6801	122.50	0.1522	97.29	0.6122	13.96	5.41	0.0000	4.91	4.51	0	0	30.14	163	0.0800	0.0413	0.6974	0.0626	0.9683	0.2500	0.9920	0.4064	0.2891	0.2637	0.9229	0.8018	0.8148	0.5864	0.8642	0.3025	0
Media-103401	124	124.02	0.6284	124.66	0.0429	83.00	0.5233	125.96	0.6327	125.84	0.7127	124.50	0.2097	121.93	0.8330	14.27	5.06	0.0000	4.84	4.00	0	0	31.79	161	0.0296	0.0853	0.6947	0.1662	0.9394	0.1212	0.9318	0.2374	0.4428	0.1061	0.9662	0.3139	0.8750	0.5875	0.8875	0.2375	0
Media-103402	124	124	0.6284	125.08	0.0580	83.00	0.5245	125.98	0.5159	125.77	0.7278	122.50	0.1057	155.45	0.5972	12.98	5.76	0.0000	4.91	4.59	0	0	31.79	183	0.0738	0.0928	0.5598	0.1293	0.9091	0.2121	0.9242	0.4545	0.4943	0.2285	0.9277	0.6688	0.7747	0.4176	0.8297	0.4341	0
Media-103403	124	124.07	0.5073	130.25	0.0284	124.00	0.5356	126.27	0.5734	125.89	0.6581	124.00	0.1839	61.55	0.7261	11.74	6.51	0.0000	5.49	4.98	0	0	29.51	192	0.0097	0.0471	0.4926	0.2033	0.1935	0.6774	0.9187	0.5000	0.2183	0.4641	0.8543	0.6161	0.6911	0.3560	0.7592	0.4974	0
Media-103404	124	123.97	0.6341	124.68	0.0242	125.00	0.3852	125.92	0.6311	125.99	0.6600	124.50	0.1158	122.44	0.8610	12.06	7.20	0.0000	5.54	5.00	0	0	31.79	229	0.1727	0.0471	0.3626	0.1183	0.8333	0.7879	0.9091	0.6111	0.5753	0.5612	0.8785	0.6269	0.6535	0.1886	0.7939	0.4781	0
Media-103405	124	124	0.6383	124.63	0.0436	82.50	0.5596	126.16	0.5949	121.53	0.7992	124.00	0.2172	140.45	0.5675	11.98	6.54	0.0000	5.44	4.37	0	0	31.79	208	0.0740	0.1288	0.5044	0.1615	0.8939	0.3636	0.9318	0.4798	0.6956	0.1695	0.8948	0.5602	0.6667	0.3333	0.8068	0.5217	0
Media-103406	124	124.03	0.6186	125.09	0.0373	83.00	0.4966	126.07	0.6245	81.85	0.7001	125.50	0.1155	94.47	0.6471	12.54	5.32	0.0000	4.53	4.37	0	0	31.79	169	0.0786	0.0309	0.7240	0.0169	0.9091	0.1818	0.9318	0.2374	0.4163	0.1445	0.9057	0.4659	0.7976	0.5833	0.8452	0.3155	0
Media-103407	124	124	0.6888	124.72	0.0388	122.50	0.5036	125.85	0.6024	125.55	0.5511	123.50	0.2123	122.07	0.6407	12.51	6.70	0.0000	5.76	4.37	0	0	31.79	213	0.0489	0.0756	0.4641	0.1293	0.8333	0.4242	0.8864	0.5101	0.4043	0.1808	0.8182	0.8052	0.6226	0.2500	0.7217	0.5189	0
Media-103408	124	124.04	0.6301	124.70	0.0473	123.50	0.4953	125.91	0.4748	61.79	0.5247	124.00	0.1964	64.62	0.6546	11.48	6.73	0.0000	5.79	4.28	0	0	31.79	214	0.0930	0.1288	0.5521	0.0407	0.5606	0.2727	0.9470	0.3737	0.3763	0.2005	0.8727	0.5312	0.6479	0.2958	0.7371	0.5493	0
Media-103409	124	124.02	0.6245	130.25	0.0378	123.50	0.5576	121.29	0.5005	83.80	0.5719	123.50	0.2446	61.52	0.6599	12.80	6.17	0.0000	5.57	4.40	0	0	31.79	196	0.0305	0.0770	0.5558	0.0833	0.2273	0.3636	0.9167	0.4242	0.1103	0.1143	0.9192	0.6639	0.6513	0.3385	0.7333	0.4923	0
Media-103410	124	123.92	0.5796	124.65	0.0385	83.50	0.2814	126.04	0.6418	126.01	0.6510	123.00	0.0874	109.80	0.5625	10.64	6.35	0.2503	5.91	4.34	0	0	31.79	202	0.0152	0.1268	0.4676	0.0457	0.3485	0.7576	0.9394	0.4416	0.1979	0.6192	0.8721	0.6574	0.7463	0.3284	0.8259	0.4478	0
Media-103411	124	123.95	0.5171	124.65	0.0371	83.00	0.4277	126.03	0.5577	61.74	0.5274	124.50	0.1421	61.38	0.7872	12.10	6.64	0.0000	5.76	4.85	0	0	29.51	196	0.0865	0.1161	0.4002	0.0723	0.1967	0.2903	0.9672	0.4863	0.2203	0.1904	0.8620	0.7292	0.7333	0.3128	0.8410	0.4769	0
Media-103412	124	124.03	0.5952	120.02	0.0269	83.00	0.4907	126.26	0.4719	61.74	0.5596	122.50	0.1121	61.52	0.6528	11.64	6.23	0.0000	5.22	4.47	0	0	31.79	198	0.0238	0.0646	0.5639	0.0690	0.5606	0.8485	0.9167	0.4141	0.2818	0.2436	0.8985	0.7525	0.6853	0.3706	0.7817	0.4822	0
Media-103413	124	123.98	0.6183	125.10	0.0490	83.00	0.6226	125.96	0.5786	61.73	0.6596	126.00	0.1392	183.50	0.7097	13.72	5.22	0.0000	4.84	4.22	0	0	31.79	166	0.0325	0.1121	0.5598	0.0462	0.1818	0.0909	0.9394	0.3990	0.0603	0.0193	0.9050	0.6969	0.8909	0.5273	0.9455	0.1758	0
Media-103414	124	124.28	0.6233	124.64	0.0258	123.50	0.5665	125.66	0.6093	125.90	0.5863	123.50	0.2266	122.22	0.7838	14.76	5.41	0.0000	4.59	4.25	0	0	31.79	172	0.0249	0.0819	0.7510	0.0605	0.9394	0.4848	0.9318	0.2727	0.4456	0.1323	0.9391	0.3842	0.7193	0.5556	0.7485	0.2982	0
Media-103415	124	120.02	0.6300	120.00	0.0343	80.00	0.6363	119.98	0.5182	120.34	0.6367	121.00	0.2301	61.52	0.6804	12.40	5.44	0.0000	4.66	4.34	0	0	31.79	173	0.0592	0.1006	0.6304	0.1474	0.1719	0.5312	0.9297	0.4084	0.2314	0.2736	0.9140	0.7243	0.7500	0.4826	0.8488	0.3895	0
Media-103416	124	116.48	0.6811	115.25	0.0359	116.50	0.6847	114.79	1.0000	76.63	1.0000	116.50	0.2892	147.93	0.7735	11.76	5.91	0.0000	5.69	3.96	0	0	31.79	188	0.0107	0.1127	0.3246	0.0592	0.3065	0.4839	0.5081	0.3280	0.1164	0.3739	0.7852	0.6255	0.7433	0.3262	0.8021	0.3957	-1
Media-103417	124	111.99	0.7327	110.99	0.0257	113.00	0.5709	110.77	1.0000	75.35	1.0000	112.50	0.2299	141.12	0.7532	14.48	5.47	0.0000	4.78	3.84	0	0	31.79	174	0.1263	0.0301	0.5835	0.0493	0.4167	0.3333	0.9412	0.3820	0.1367	0.0294	0.9769	0.8680	0.7225	0.4104	0.7977	0.3468	-1
Media-103507	124	122.74	0.5440	115.25	0.0271	81.50	0.4504	121.76	0.4900	122.29	0.6347	122.00	0.1621	151.66	0.5174	15.90	7.14	0.0000	5.79	4.69	0	0	31.79	227	0.1085	0.0431	0.2894	0.0747	0.5909	0.2121	0.6870	0.4439	0.4434	0.7187	0.8064	0.4923	0.5487	0.2301	0.7212	0.6239	0
Media-103508	124	124.44	0.4537	124.68	0.0335	83.00	0.4392	124.25	0.4651	61.89	0.6010	124.50	0.1892	61.52	0.6228	15.21	6.86	0.0000	5.44	4.69	0	0	31.79	218	0.0774	0.0954	0.4746	0.0426	0.1364	0.4848	0.8182	0.4091	0.1801	0.2185	0.8070	0.4307	0.5576	0.2396	0.6682	0.5392	0
Media-103509	124	123.85	0.6383	124.70	0.0450	122.50	0.4591	126.20	0.6225	61.77	0.5204	123.00	0.1929	108.43	0.7138	16.63	5.10	0.0000	4.56	4.22	0	0	31.79	162	0.0662	0.0641	0.7087	0.0737	0.8788	0.1818	0.9394	0.2690	0.3931	0.1927	0.8840	0.6146	0.7950	0.5901	0.8758	0.2609	0
Media-103510	124	123.95	0.6434	124.71	0.0512	82.50	0.4548	125.93	0.6358	125.99	0.6286	123.50	0.1905	122.74	0.8020	14.52	5.85	0.0000	4.75	4.91	0	0	31.79	186	0.0883	0.0247	0.4688	0.1256	0.1212	0.3636	0.8712	0.2626	0.0461	0.1518	0.9235	0.1635	0.7946	0.3892	0.8541	0.3243	0
Media-103601	116	116.52	0.7282	115.25	0.0343	117.50	0.4763	118.72	1.0000	78.36	0.9633	117.50	0.1808	87.55	0.7516	16.15	5.82	0.0000	5.29	3.78	0	0	31.79	185	0.0564	0.0871	0.4694	0.1288	0.1935	0.1613	0.9032	0.4570	0.0306	0.0319	0.9285	0.6363	0.7717	0.3478	0.8043	0.4728	0
Media-103602	124	123.98	0.6224	120.00	0.0181	125.00	0.5157	126.29	0.5384	125.94	0.5150	125.00	0.1595	122.05	0.6763	13.86	6.10	0.0000	5.25	4.15	0	0	31.79	194	0.0495	0.0522	0.4256	0.1045	0.1667	0.6970	0.8712	0.3939	0.1506	0.7772	0.9514	0.6094	0.7047	0.3212	0.8187	0.5130	0
Media-103603	124	122.53	0.5732	125.12	0.0370	122.50	0.5056	122.38	0.5111	61.17	0.7110	122.50	0.1747	184.87	0.7800	15.11	6.98	0.0000	5.54	4.75	0	0	31.79	222	0.0374	0.0601	0.4664	0.1290	0.6462	0.9394	0.9308	0.5026	0.5858	0.4450	0.8353	0.6338	0.6109	0.2624	0.7466	0.5973	0
Media-103604	124	124.88	0.6767	130.25	0.0268	124.00	0.4928	125.00	0.5296	62.46	0.5229	124.50	0.1760	126.36	0.6811	15.74	6.17	0.0000	5.47	4.15	0	0	31.79	196	0.1169	0.0229	0.7036	0.1303	0.7015	0.2059	0.9323	0.3769	0.1642	0.6975	0.9165	0.4890	0.5692	0.3590	0.6051	0.5333	0
Media-103617	108	109.07	0.6485	111.01	0.0345	73.00	0.4688	109.17	1.0000	109.11	1.0000	109.50	0.1728	67.57	0.5803	14.88	7.36	0.0000	5.51	4.75	0	0	31.79	234	0.0541	0.0695	0.3870	0.0112	0.1379	0.3448	0.9224	0.4253	0.2896	0.2876	0.8428	0.7313	0.5751	0.1588	0.7210	0.6137	0
Media-103701	124	123.99	0.6279	125.12	0.0297	83.00	0.5162	126.00	0.5206	61.76	0.4653	123.50	0.1799	122.02	0.8357	13.80	5.91	0.0000	4.84	4.12	0	0	31.79	188	0.0533	0.0247	0.5996	0.0693	0.9242	0.8485	0.9394	0.4242	0.6428	0.6243	0.9256	0.6497	0.6738	0.4225	0.7914	0.4064	0
Media-103702	124	123.83	0.5902	124.66	0.0703	82.00	0.5305	126.17	0.6306	61.81	0.5171	123.00	0.2110	61.52	0.7010	13.84	6.13	0.0000	5.47	4.50	0	0	31.79	195	0.0556	0.1308	0.3911	0.1333	0.3636	0.7576	0.8788	0.4365	0.1383	0.4959	0.8980	0.5249	0.7784	0.3454	0.8402	0.4330	0
Media-103703	124	119.84	0.6234	130.25	0.0173	79.50	0.5770	119.71	0.5147	119.31	0.8327	119.50	0.2382	149.28	0.5902	18.01	5.38	0.0000	4.81	4.00	0	0	31.79	171	0.0587	0.0384	0.5835	0.0337	0.2031	0.1250	0.9213	0.4136	0.2795	0.0681	0.9744	0.8049	0.7412	0.4471	0.7941	0.3588	0
Media-103704	120	119.53	0.6450	130.25	0.0195	79.50	0.4378	120.35	0.5732	120.28	0.5070	118.50	0.1540	120.36	0.7529	13.99	6.54	0.0000	5.29	4.53	0	0	31.79	208	0.0802	0.0588	0.4350	0.1480	0.5000	0.8125	0.9055	0.5000	0.3650	0.2997	0.8670	0.7480	0.6522	0.2657	0.6908	0.5411	0
