track_id	gt_bpm	det_bpm	det_conf	ioi_bpm	ioi_conf	comb_bpm	comb_conf	ac_bpm	ac_conf	lowac_bpm	lowac_conf	hopf_bpm	hopf_conf	spec_bpm	spec_conf	crest_db	transient_density	tempo_stability	d_low	d_high	machine_timed	drumless	duration_s	n_onsets	pc_det	pc_half	pc_double	pc_triple	es_det	es_half	es_double	es_triple	me_det	me_half	me_double	me_triple	io_det	io_half	io_double	io_triple	label	dataset	n_beats	bpm_librosa	best_shift	best_score	prominence	is_ternary_top	is_edm_phrase_top	sim_1	sim_2	sim_3	sim_4	sim_6	sim_8	sim_12	sim_16	sim_32
1329955.LOFI	126.0	174.21	0.2289	176.25	0.055	91.0	0.2896	97.28	0.5379	188.41	0.9808	106.5	0.0506	61.52	0.6962	15.08	11.57	0.0	8.32	5.83	0	0	120.01	1389	0.0138	0.0099	0.0084	0.0101	0.6332	0.6229	0.627	0.6214	0.5018	0.5229	0.5049	0.4961	0.6765	0.1153	0.8437	0.9128	-1	GS	165	83.35	1	0.87696	0.3132	0	1	0.87696	0.689916	0.555043	0.512421	0.516558	0.572477	0.782644	0.539164	0.822316
1380256.LOFI	126.0	104.73	0.4586	124.75	0.0307	104.5	0.3134	165.55	0.5408	165.67	0.6974	125.0	0.0964	158.67	0.8555	11.61	9.42	0.0	7.37	7.31	0	0	120.01	1131	0.0194	0.0127	0.0072	0.0277	0.5286	0.5429	0.5179	0.539	0.5184	0.5286	0.5193	0.5135	0.5283	0.0009	0.7611	0.8912	-1	GS	162	83.35	3	0.982712	0.010164	1	0	0.980459	0.981651	0.982712	0.973163	0.972897	0.972201	0.966579	0.96535	0.952971
1418652.LOFI	140.0	186.5	0.4136	199.75	0.0429	106.5	0.1619	186.79	0.7676	70.15	0.5385	67.5	0.0305	190.07	0.6298	9.6	10.76	0.0	7.76	5.57	0	0	120.03	1291	0.0122	0.0173	0.0207	0.0271	0.5936	0.5134	0.6011	0.6054	0.5377	0.439	0.4924	0.5033	0.6705	0.1907	0.8349	0.8558	-1	GS	210	103.36	1	0.914151	0.148891	0	0	0.914151	0.814291	0.769523	0.760998	0.804201	0.755254	0.846302	0.731639	0.735963
1424458.LOFI	126.0	167.96	0.5553	0.0	0.0	168.5	0.2638	165.63	0.5644	124.05	0.6721	167.5	0.0485	166.6	0.7424	5.75	9.25	0.0	8.61	7.51	0	1	120.03	1110	0.044	0.0379	0.071	0.6692	0.2611	0.1302	0.5899	0.9128	0.1863	0.3403	0.5862	0.7298	0.8557	0.0739	0.5104	0.9739	-1	GS	334	172.27	1	0.98189	0.013003	1	0	0.98189	0.970686	0.970692	0.968749	0.961705	0.96569	0.970107	0.969024	0.96819
1461087.LOFI	175.0	178.85	0.4402	176.25	0.0602	179.5	0.3872	183.55	0.6219	60.0	0.7509	179.5	0.1771	178.44	0.648	8.07	9.1	0.0	7.51	6.11	0	0	120.03	1092	0.0093	0.0149	0.0198	0.0148	0.5112	0.5196	0.5154	0.4898	0.4546	0.4418	0.5483	0.5154	0.7314	0.4216	0.8671	0.6398	0	GS	181	89.1	16	0.929428	0.074328	0	1	0.921083	0.864591	0.833194	0.831862	0.845609	0.866727	0.828609	0.929428	0.898645
1469706.LOFI	130.0	129.95	0.6391	130.25	0.0485	194.0	0.5902	65.4	0.8453	65.41	0.5509	97.0	0.2147	64.47	0.6958	10.94	9.11	0.0	6.17	6.01	0	0	120.03	1093	0.1379	0.1523	0.2533	0.0683	0.65	0.0615	0.5596	0.5038	0.6166	0.3233	0.6299	0.5777	0.5302	0.1355	0.7976	0.7372	0	GS	130	64.6	4	0.986621	0.021424	0	0	0.966416	0.963978	0.9626	0.986621	0.955467	0.97596	0.970664	0.969537	0.952849
1479462.LOFI	90.0	193.96	0.5242	199.75	0.0742	78.0	0.2447	191.3	0.6307	130.65	0.4567	197.0	0.1073	146.3	0.6997	11.23	10.1	0.0	8.6	6.38	0	0	120.03	1212	0.0079	0.0155	0.0288	0.0159	0.509	0.5641	0.5573	0.5571	0.4725	0.4957	0.4944	0.5275	0.763	0.3683	0.8439	0.7531	-1	GS	373	198.77	1	0.971402	0.042301	0	0	0.971402	0.942937	0.934269	0.934895	0.925704	0.932497	0.915223	0.920602	0.904034
1514866.LOFI	140.0	140.15	0.4596	142.75	0.0476	69.5	0.3892	139.22	0.5308	69.58	0.556	139.5	0.1051	140.46	0.6999	9.8	8.65	0.0	7.38	6.45	0	0	120.03	1038	0.0377	0.0137	0.1334	0.0454	0.4804	0.5745	0.5633	0.5083	0.2818	0.6716	0.7396	0.5513	0.7473	0.1871	0.8669	0.6104	0	GS	280	143.55	1	0.943065	0.049199	0	1	0.943065	0.904333	0.867714	0.863926	0.883399	0.942452	0.84918	0.919868	0.921315
1548088.LOFI	137.0	136.99	0.5287	0.0	0.0	79.5	0.1667	181.41	0.5201	135.95	0.5617	120.0	0.0489	138.2	0.8768	9.93	9.63	0.3494	9.13	8.54	0	0	120.03	1156	0.0275	0.0403	0.0332	0.0281	0.0509	0.9565	0.9854	0.4338	0.5085	0.5684	0.5255	0.5216	0.9004	0.0121	0.9905	0.3307	0	GS	275	136.0	4	0.993531	0.016913	0	0	0.977948	0.969765	0.975289	0.993531	0.9675	0.990818	0.987143	0.984355	0.973309
1556416.LOFI	140.0	140.01	0.5737	142.75	0.0618	64.5	0.1601	139.11	0.5525	69.52	0.6073	139.5	0.0562	141.49	0.819	10.22	8.5	0.0	6.86	5.71	0	0	120.03	1020	0.0217	0.0645	0.4057	0.0161	0.1886	0.9645	0.9929	0.4614	0.1726	0.619	0.809	0.6287	0.686	0.2385	0.8577	0.581	0	GS	187	92.29	32	0.953992	0.043233	0	1	0.951799	0.915278	0.903268	0.90776	0.910442	0.903665	0.929499	0.911076	0.953992
1560139.LOFI	140.0	140.07	0.629	166.5	0.0364	94.0	0.2179	139.23	0.566	139.1	0.5704	141.5	0.0391	141.09	0.8871	12.19	9.14	0.0	7.92	5.3	0	0	120.01	1097	0.0729	0.0654	0.2705	0.1534	0.5231	0.4539	0.8414	0.6326	0.6195	0.4447	0.7795	0.4379	0.6934	0.1259	0.8321	0.7254	0	GS	141	69.84	1	0.982347	0.054177	0	1	0.982347	0.962245	0.94589	0.933161	0.91968	0.91435	0.918205	0.923179	0.959241
1560729.LOFI	123.0	123.0	0.5663	187.13	0.188	134.0	0.1306	122.02	0.5714	122.02	0.5424	123.0	0.0656	123.01	0.8334	11.08	8.47	0.1619	8.16	7.8	0	0	120.03	1017	0.0168	0.0214	0.0297	0.036	0.9352	0.0242	0.9696	0.6888	0.4922	0.0562	0.5281	0.5018	0.8937	0.0207	0.9449	0.1713	0	GS	246	123.05	8	0.978489	0.114361	0	1	0.930954	0.866008	0.843304	0.842371	0.862249	0.978489	0.841033	0.977792	0.976468
1562235.LOFI	124.0	122.99	0.5955	0.0	0.0	184.5	0.2704	160.45	0.5026	121.98	0.5976	169.5	0.0934	123.1	0.9204	12.69	9.26	0.0	7.9	7.85	0	0	120.06	1112	0.0082	0.0233	0.0623	0.0385	0.0688	0.0806	0.1176	0.6089	0.0339	0.0208	0.0446	0.6056	0.784	0.0153	0.8992	0.4518	0	GS	281	161.5	1	0.990596	0.012541	1	0	0.990596	0.982872	0.979247	0.978799	0.978522	0.977588	0.977169	0.971623	0.967667
1569136.LOFI	170.5	169.1	0.4216	166.5	0.0641	84.0	0.1531	172.54	0.6292	172.37	0.6281	169.5	0.0511	169.89	0.9082	12.27	9.12	0.0	7.97	5.94	0	0	120.06	1095	0.0216	0.0081	0.0781	0.0171	0.4543	0.5529	0.5377	0.4882	0.4012	0.5454	0.5202	0.4894	0.7029	0.3949	0.8775	0.6088	0	GS	228	112.35	1	0.971862	0.067294	0	0	0.971862	0.935677	0.907519	0.892318	0.885388	0.903627	0.923863	0.872156	0.905508
1623443.LOFI	140.0	140.15	0.5043	142.75	0.0484	70.5	0.4384	110.38	1.0	139.26	1.0	157.5	0.1678	105.77	0.8632	12.16	7.47	0.0	6.09	5.62	0	0	120.06	897	0.1097	0.0799	0.1395	0.0031	0.3452	0.4326	0.4759	0.4347	0.3139	0.3289	0.568	0.4976	0.7411	0.2801	0.8516	0.4855	0	GS	212	112.35	6	0.958576	0.064677	1	0	0.919916	0.893442	0.933089	0.894356	0.958576	0.885166	0.947585	0.885169	0.887508
1626348.LOFI	140.0	139.99	0.5207	142.75	0.0636	140.0	0.2875	139.19	0.5885	139.21	0.6052	140.0	0.1057	136.69	0.7777	10.2	8.59	0.4879	7.86	7.24	0	0	120.06	1031	0.0652	0.0195	0.179	0.0048	0.2028	0.3475	0.9964	0.4043	0.4055	0.3413	0.6781	0.5566	0.8864	0.1262	0.965	0.3757	0	GS	281	143.55	1	0.98534	0.033935	1	0	0.98534	0.97625	0.968711	0.961064	0.943997	0.930671	0.925689	0.92318	0.958813
1676961.LOFI	170.0	169.1	0.4015	166.5	0.0434	169.5	0.2106	172.56	0.6416	84.12	0.4928	170.0	0.0476	85.05	0.7014	10.1	9.07	0.0	7.04	6.01	0	0	120.06	1089	0.0231	0.0191	0.0163	0.0102	0.5221	0.4882	0.4978	0.4951	0.5007	0.4226	0.5163	0.5115	0.7656	0.3502	0.9026	0.6719	0	GS	224	112.35	1	0.96928	0.041188	1	0	0.96928	0.951003	0.943057	0.935183	0.930925	0.92526	0.922888	0.922877	0.900534
1698047.LOFI	174.0	174.52	0.5781	176.25	0.0793	72.5	0.2852	114.95	0.7101	114.86	0.8885	109.0	0.0962	127.96	0.7366	10.77	8.96	0.0	6.34	6.25	0	0	120.06	1076	0.03	0.0281	0.0245	0.0281	0.4886	0.5371	0.5222	0.501	0.4705	0.5134	0.6645	0.4816	0.7591	0.3256	0.8698	0.6837	0	GS	233	117.45	1	0.971561	0.040905	1	0	0.971561	0.955198	0.94929	0.943666	0.940288	0.921023	0.903054	0.903214	0.891275
172384.LOFI	84.0	167.99	0.6263	166.5	0.0617	112.0	0.3922	165.27	0.6127	166.04	0.6308	167.5	0.1533	105.78	0.7617	14.26	8.16	0.0	7.28	5.92	0	0	120.06	980	0.1194	0.0079	0.6945	0.1312	0.9911	0.0414	0.9941	0.5471	0.4043	0.1876	0.793	0.6837	0.7579	0.5066	0.8703	0.4985	1	GS	164	83.35	4	0.990835	0.004397	0	1	0.977059	0.986597	0.976418	0.990835	0.984093	0.989861	0.98824	0.990473	0.986279
1728723.LOFI	140.0	140.0	0.4384	199.75	0.0875	138.5	0.2672	139.14	0.6048	137.97	0.7922	70.5	0.0609	140.68	0.6622	9.19	9.97	0.0	7.69	6.1	0	0	120.06	1197	0.0119	0.0064	0.0525	0.1526	0.4484	0.6312	0.5936	0.6219	0.5154	0.4202	0.5538	0.5414	0.5435	0.0217	0.6355	0.8905	0	GS	237	117.45	1	0.938658	0.111785	0	1	0.938658	0.880601	0.834107	0.804161	0.78203	0.819641	0.895488	0.810539	0.886955
1735621.LOFI	95.25	126.95	0.6366	199.75	0.0292	63.0	0.4349	132.15	0.6817	132.01	0.8822	63.5	0.107	125.26	0.8525	10.37	9.13	0.0	6.75	7.05	0	0	120.06	1096	0.0469	0.0451	0.1153	0.0505	0.4431	0.5859	0.8762	0.5138	0.3514	0.8186	0.9249	0.2769	0.6256	0.0849	0.9078	0.505	-1	GS	256	129.2	4	0.997918	0.011722	0	0	0.982292	0.97561	0.981059	0.997918	0.975611	0.996485	0.995289	0.99415	0.990099
1743969.LOFI	130.0	157.02	0.5637	157.76	0.0232	156.5	0.5516	159.66	0.5671	79.39	0.774	156.5	0.2272	79.65	0.7942	13.1	8.71	0.0	6.9	6.01	0	0	120.06	1046	0.0619	0.0139	0.5491	0.2536	0.073	0.0949	0.9332	0.5864	0.3734	0.2924	0.6659	0.6787	0.5866	0.2727	0.7684	0.6785	-1	GS	240	161.5	1	0.969642	0.068647	1	0	0.969642	0.95175	0.9356	0.919093	0.896827	0.891433	0.888535	0.905162	0.889668
1747518.LOFI	140.0	140.22	0.576	142.75	0.0506	175.0	0.4899	94.13	0.9802	94.01	0.9516	88.0	0.1254	70.63	0.7848	11.5	9.69	0.0	7.52	5.61	0	0	120.06	1163	0.0323	0.0345	0.0444	0.0618	0.5907	0.5248	0.5907	0.5629	0.5358	0.3679	0.5757	0.5203	0.5482	0.1213	0.7702	0.821	0	GS	177	92.29	1	0.880505	0.121744	1	0	0.880505	0.76843	0.749092	0.804007	0.785946	0.712242	0.727583	0.784934	0.73903
1753073.LOFI	140.0	139.46	0.4567	136.25	0.0871	93.5	0.239	139.2	0.5634	139.41	0.5825	70.0	0.0692	141.1	0.8929	12.6	10.99	0.0	8.55	7.09	0	0	120.06	1320	0.0156	0.0255	0.0374	0.028	0.6571	0.5643	0.653	0.6265	0.5845	0.6978	0.4735	0.4967	0.6376	0.0425	0.9219	0.8378	0	GS	281	143.55	8	0.965581	0.064116	0	1	0.952539	0.904767	0.8885	0.898163	0.897639	0.965581	0.887875	0.945773	0.915022
1765409.LOFI	72.0	144.64	0.4924	142.75	0.0675	146.5	0.22	147.84	0.573	96.98	0.6936	143.5	0.0464	91.58	0.5028	14.46	8.81	0.0	6.89	5.46	0	0	120.06	1058	0.0061	0.0426	0.1307	0.0096	0.4	0.5586	0.5959	0.4753	0.3551	0.4971	0.7333	0.5002	0.6026	0.2507	0.8373	0.667	1	GS	192	95.7	1	0.894862	0.251658	1	0	0.894862	0.780037	0.695997	0.637134	0.610686	0.643078	0.671027	0.590189	0.64333
1791554.LOFI	126.0	62.95	0.6405	187.25	0.0596	63.5	0.6546	63.28	0.9695	63.23	0.9871	63.0	0.1738	191.74	0.6404	9.56	10.19	0.0	9.01	7.3	0	0	120.06	1223	0.011	0.0114	0.0375	0.0471	0.5556	0.3333	0.5635	0.6296	0.4437	0.7708	0.3365	0.2423	0.0123	0.0	0.6997	0.8232	2	GS	121	63.02	2	0.989981	0.020947	0	0	0.983948	0.989981	0.977158	0.982978	0.972966	0.965101	0.946011	0.928233	0.963718
1816200.LOFI	123.0	123.01	0.6582	176.25	0.1997	65.5	0.1697	161.16	0.5932	61.0	0.5564	199.5	0.0482	123.01	0.8425	10.08	9.8	0.0	8.98	8.0	0	0	120.06	1177	0.0617	0.0327	0.0514	0.0721	0.3968	0.8871	0.2373	0.5927	0.5107	0.3025	0.5174	0.396	0.7253	0.0026	0.9014	0.5374	0	GS	245	123.05	16	0.987179	0.002883	0	1	0.98287	0.979958	0.97919	0.986376	0.977266	0.986056	0.985724	0.987179	0.986028
1817444.LOFI	172.0	173.65	0.4802	176.25	0.0587	171.0	0.3397	85.47	0.5553	170.75	0.6072	171.5	0.1466	173.16	0.6238	11.33	7.49	0.0	7.26	5.75	0	0	120.06	899	0.0131	0.0126	0.0339	0.0111	0.4052	0.3908	0.423	0.4036	0.4904	0.5341	0.5035	0.4954	0.8441	0.618	0.9243	0.382	0	GS	163	86.13	32	0.921065	0.225394	0	1	0.917685	0.810731	0.721863	0.669479	0.630744	0.617603	0.65301	0.878824	0.921065
1825982.LOFI	123.0	123.07	0.6137	0.0	0.0	184.0	0.2491	122.04	0.5906	122.08	0.5989	93.0	0.0466	123.07	0.8886	10.48	11.19	0.0	10.07	7.78	0	0	120.06	1343	0.0575	0.013	0.0136	0.0239	0.8016	0.6532	0.5963	0.6076	0.6598	0.2632	0.4127	0.3689	0.5127	0.0022	0.8689	0.5954	0	GS	310	161.5	1	0.970628	0.11666	1	0	0.970628	0.927036	0.890988	0.869218	0.853253	0.843344	0.833933	0.854684	0.820299
1839656.LOFI	140.0	140.15	0.476	142.75	0.04	70.5	0.6241	69.59	0.509	69.6	0.5287	140.5	0.2195	70.46	0.7721	10.34	6.81	0.0	5.52	5.56	0	0	120.06	817	0.0505	0.0645	0.2875	0.02	0.1779	0.461	0.4777	0.3705	0.2876	0.4241	0.4467	0.3972	0.7831	0.4694	0.9032	0.3995	0	GS	187	92.29	1	0.965278	0.0244	1	0	0.965278	0.954869	0.95434	0.947379	0.953115	0.934377	0.919396	0.928455	0.881408
1842615.LOFI	148.0	147.64	0.5356	149.64	0.1023	98.5	0.3374	74.12	0.5564	144.78	0.604	147.0	0.1299	145.19	0.839	12.16	8.93	0.0	7.54	5.51	0	0	120.06	1072	0.0256	0.0575	0.0871	0.0389	0.5845	0.5135	0.5347	0.5333	0.5548	0.402	0.6881	0.4917	0.774	0.2297	0.915	0.6218	0	GS	199	99.38	1	0.983092	0.007016	1	0	0.983092	0.980958	0.982974	0.975312	0.976839	0.978282	0.971405	0.972435	0.968356
